subject,session,date,time,item,acc,rt,response
9001,1,10/03/22,11:12,1,1,7714.7479,NA
9001,1,10/03/22,11:12,2,1,7714.7479,NA
9001,1,10/03/22,11:12,3,1,7714.7479,NA
9001,1,10/03/22,11:12,4,0,71639.019,NA
9001,1,10/03/22,11:12,5,1,18779.7009,NA
9001,1,10/03/22,11:12,6,1,65692.9351,NA
9001,1,10/03/22,11:12,7,1,36910.5468,NA
9001,1,10/03/22,11:12,8,0,0,NA
9003,1,10/03/22,11:05,1,1,6587.8501,NA
9003,1,10/03/22,11:05,2,0,6204.9165,NA
9003,1,10/03/22,11:05,3,0,29828.652,NA
9003,1,10/03/22,11:05,4,1,18482.7588,NA
9003,1,10/03/22,11:05,5,1,19055.3705,NA
9003,1,10/03/22,11:05,6,1,22832.1441,NA
9003,1,10/03/22,11:05,7,0,13008.1907,NA
9003,1,10/03/22,11:05,8,0,10797.2666,NA
9003,1,10/03/22,11:05,9,0,14141.0822,NA
9003,1,10/03/22,11:05,10,0,14141.0822,NA
9003,1,10/03/22,11:05,11,1,14895.922,NA
9003,1,10/03/22,11:05,12,1,14895.922,NA
9003,1,10/03/22,11:05,13,1,5869.0191,NA
9003,1,10/03/22,11:05,14,1,28332.3353,NA
9003,1,10/03/22,11:05,15,0,18864.8085,NA
9004,1,10/03/22,13:37,1,1,29360.3318,NA
9004,1,10/03/22,13:37,2,1,29360.3318,NA
9004,1,10/03/22,13:37,3,0,60033.3261,NA
9004,1,10/03/22,13:37,4,0,17297.8201,NA
9004,1,10/03/22,13:37,5,1,47046.1965,NA
9004,1,10/03/22,13:37,6,1,48318.6573,NA
9004,1,10/03/22,13:37,7,1,22830.0956,NA
9004,1,10/03/22,13:37,8,1,27849.2291,NA
9004,1,10/03/22,13:37,9,0,0,NA
9005,1,10/03/22,13:52,1,1,13597.2743,NA
9005,1,10/03/22,13:52,2,1,17583.2413,NA
9005,1,10/03/22,13:52,3,0,40351.1106,NA
9005,1,10/03/22,13:52,4,1,24950.5874,NA
9005,1,10/03/22,13:52,5,1,14425.2954,NA
9005,1,10/03/22,13:52,6,1,30693.9236,NA
9005,1,10/03/22,13:52,7,1,25383.287,NA
9005,1,10/03/22,13:52,8,1,50759.8041,NA
9005,1,10/03/22,13:52,9,1,41046.6831,NA
9005,1,10/03/22,13:52,10,0,0,NA
9006,1,10/04/22,10:56,1,1,15865.0172,NA
9006,1,10/04/22,10:56,2,0,22601.8103,NA
9006,1,10/04/22,10:56,3,0,49934.9011,NA
9006,1,10/04/22,10:56,4,1,24475.5791,NA
9006,1,10/04/22,10:56,5,1,31453.332,NA
9006,1,10/04/22,10:56,6,1,67994.2339,NA
9006,1,10/04/22,10:56,7,1,10398.4494,NA
9006,1,10/04/22,10:56,8,1,13210.1102,NA
9006,1,10/04/22,10:56,9,1,21621.2169,NA
9006,1,10/04/22,10:56,10,0,11353.4937,NA
9006,1,10/04/22,10:56,11,0,0,NA
9007,1,10/04/22,10:44,1,1,5406.6043,NA
9007,1,10/04/22,10:44,2,0,7637.4769,NA
9007,1,10/04/22,10:44,3,0,16193.0796,NA
9007,1,10/04/22,10:44,4,1,11793.3508,NA
9007,1,10/04/22,10:44,5,1,10456.4619,NA
9007,1,10/04/22,10:44,6,1,5868.86,NA
9007,1,10/04/22,10:44,7,1,12691.8847,NA
9007,1,10/04/22,10:44,8,0,16898.1935,NA
9007,1,10/04/22,10:44,9,0,14993.2256,NA
9007,1,10/04/22,10:44,10,0,27340.3257,NA
9007,1,10/04/22,10:44,11,1,7113.439,NA
9007,1,10/04/22,10:44,12,0,11964.2205,NA
9007,1,10/04/22,10:44,13,1,8458.9832,NA
9007,1,10/04/22,10:44,14,0,24944.1026,NA
9007,1,10/04/22,10:44,15,0,39589.4541,NA
9008,1,10/04/22,14:30,1,1,9175.8904,NA
9008,1,10/04/22,14:30,2,1,21074.4102,NA
9008,1,10/04/22,14:30,3,0,84083.3344,NA
9008,1,10/04/22,14:30,4,1,87887.0775,NA
9008,1,10/04/22,14:30,5,1,27833.3635,NA
9008,1,10/04/22,14:30,6,1,36935.1141,NA
9008,1,10/04/22,14:30,7,0,0,NA
9009,1,10/04/22,13:50,1,1,12564.3303,NA
9009,1,10/04/22,13:50,2,1,12564.3303,NA
9009,1,10/04/22,13:50,3,0,39336.3574,NA
9009,1,10/04/22,13:50,4,1,14854.95,NA
9009,1,10/04/22,13:50,5,1,13086.443,NA
9009,1,10/04/22,13:50,6,1,6384.6654,NA
9009,1,10/04/22,13:50,7,1,15767.1869,NA
9009,1,10/04/22,13:50,8,1,15767.1869,NA
9009,1,10/04/22,13:50,9,1,13722.4043,NA
9009,1,10/04/22,13:50,10,1,10527.9308,NA
9009,1,10/04/22,13:50,11,1,20347.491,NA
9009,1,10/04/22,13:50,12,1,9805.4919,NA
9009,1,10/04/22,13:50,13,0,73119.5726,NA
9009,1,10/04/22,13:50,14,0,0,NA
9010,1,10/04/22,16:43,1,1,10636.327,NA
9010,1,10/04/22,16:43,2,1,8431.3364,NA
9010,1,10/04/22,16:43,3,0,9572.184,NA
9010,1,10/04/22,16:43,4,1,30416.1255,NA
9010,1,10/04/22,16:43,5,0,31842.1494,NA
9010,1,10/04/22,16:43,6,0,23700.1045,NA
9010,1,10/04/22,16:43,7,0,12472.0579,NA
9010,1,10/04/22,16:43,8,0,7608.2502,NA
9010,1,10/04/22,16:43,9,0,6744.6867,NA
9010,1,10/04/22,16:43,10,1,10755.4433,NA
9010,1,10/04/22,16:43,11,1,18920.367,NA
9010,1,10/04/22,16:43,12,1,18920.367,NA
9010,1,10/04/22,16:43,13,1,14371.2154,NA
9010,1,10/04/22,16:43,14,1,33376.9171,NA
9010,1,10/04/22,16:43,15,0,20229.7716,NA
9011,1,10/04/22,16:59,1,1,13631.0693,NA
9011,1,10/04/22,16:59,2,0,22829.7193,NA
9011,1,10/04/22,16:59,3,0,9290.7282,NA
9011,1,10/04/22,16:59,4,0,13266.8929,NA
9011,1,10/04/22,16:59,5,1,19397.2337,NA
9011,1,10/04/22,16:59,6,0,9976.4543,NA
9011,1,10/04/22,16:59,7,1,9253.2346,NA
9011,1,10/04/22,16:59,8,0,4948.7839,NA
9011,1,10/04/22,16:59,9,1,10057.2133,NA
9011,1,10/04/22,16:59,10,0,5794.6712,NA
9011,1,10/04/22,16:59,11,0,746.7909,NA
9011,1,10/04/22,16:59,12,0,551.863,NA
9011,1,10/04/22,16:59,13,1,7442.174,NA
9011,1,10/04/22,16:59,14,0,7385.4678,NA
9011,1,10/04/22,16:59,15,0,1717.8518,NA
9013,1,10/05/22,11:06,1,1,6956.2034,NA
9013,1,10/05/22,11:06,2,1,31405.6487,NA
9013,1,10/05/22,11:06,3,0,31219.2348,NA
9013,1,10/05/22,11:06,4,1,32943.0114,NA
9013,1,10/05/22,11:06,5,1,17788.6644,NA
9013,1,10/05/22,11:06,6,1,17832.1359,NA
9013,1,10/05/22,11:06,7,1,26089.9378,NA
9013,1,10/05/22,11:06,8,1,16450.8817,NA
9013,1,10/05/22,11:06,9,0,9613.4181,NA
9013,1,10/05/22,11:06,10,1,7452.0457,NA
9013,1,10/05/22,11:06,11,0,25438.0275,NA
9013,1,10/05/22,11:06,12,0,7684.8262,NA
9013,1,10/05/22,11:06,13,1,9463.1819,NA
9013,1,10/05/22,11:06,14,0,24787.1073,NA
9013,1,10/05/22,11:06,15,0,0,NA
9014,1,10/05/22,10:58,1,1,8659.6156,NA
9014,1,10/05/22,10:58,2,1,20694.8085,NA
9014,1,10/05/22,10:58,3,0,41934.3712,NA
9014,1,10/05/22,10:58,4,1,48245.2398,NA
9014,1,10/05/22,10:58,5,0,41697.6257,NA
9014,1,10/05/22,10:58,6,1,42936.8058,NA
9014,1,10/05/22,10:58,7,1,46834.7332,NA
9014,1,10/05/22,10:58,8,0,0,NA
9015,1,10/05/22,13:56,1,1,11981.0337,NA
9015,1,10/05/22,13:56,2,1,29312.1005,NA
9015,1,10/05/22,13:56,3,0,47812.1763,NA
9015,1,10/05/22,13:56,4,1,21904.4484,NA
9015,1,10/05/22,13:56,5,1,12809.0051,NA
9015,1,10/05/22,13:56,6,1,26074.4955,NA
9015,1,10/05/22,13:56,7,1,21539.3785,NA
9015,1,10/05/22,13:56,8,0,19648.476,NA
9015,1,10/05/22,13:56,9,1,32512.7723,NA
9015,1,10/05/22,13:56,10,0,50923.3023,NA
9015,1,10/05/22,13:56,11,1,20560.478,NA
9015,1,10/05/22,13:56,12,0,0,NA
9016,1,10/05/22,13:46,1,1,8565.804,NA
9016,1,10/05/22,13:46,2,0,7518.6909,NA
9016,1,10/05/22,13:46,3,0,14574.6109,NA
9016,1,10/05/22,13:46,4,1,16808.7301,NA
9016,1,10/05/22,13:46,5,1,34071.9495,NA
9016,1,10/05/22,13:46,6,0,14747.5554,NA
