subject,session,date,time,list,phase,serial_position,cue,target,response,rt
0,1,01/29/24,10:33,0,encoding,1,atom,gift,,NA
0,1,01/29/24,10:33,0,encoding,2,zone,cage,,NA
0,1,01/29/24,10:33,0,encoding,3,newt,folk,,NA
0,1,01/29/24,10:33,0,recall,1,atom,gift,gift,2803.9093
0,1,01/29/24,10:33,0,recall,2,zone,cage,cage,2016.4227
0,1,01/29/24,10:33,0,recall,3,newt,folk,folk,2125.6014
0,1,01/29/24,10:33,1,encoding,1,gulf,lion,,NA
0,1,01/29/24,10:33,1,encoding,2,role,chow,,NA
0,1,01/29/24,10:33,1,encoding,3,idea,mode,,NA
0,1,01/29/24,10:33,1,encoding,4,shed,peak,,NA
0,1,01/29/24,10:33,1,encoding,5,tear,wing,,NA
0,1,01/29/24,10:33,1,encoding,6,year,walk,,NA
0,1,01/29/24,10:33,1,encoding,7,neon,node,,NA
0,1,01/29/24,10:33,1,encoding,8,burn,lift,,NA
0,1,01/29/24,10:33,1,encoding,9,math,norm,,NA
0,1,01/29/24,10:33,1,encoding,10,lead,open,,NA
0,1,01/29/24,10:33,1,recall,1,idea,mode,mode,2138.622
0,1,01/29/24,10:33,1,recall,2,neon,node,node,2057.0613
0,1,01/29/24,10:33,1,recall,3,burn,lift,lift,3571.8831
0,1,01/29/24,10:33,1,recall,4,role,chow,chow,4016.0763
0,1,01/29/24,10:33,1,recall,5,lead,open,open,4912.4023
0,1,01/29/24,10:33,1,recall,6,shed,peak,,2968.9587
0,1,01/29/24,10:33,1,recall,7,math,norm,,2679.9659
0,1,01/29/24,10:33,1,recall,8,year,walk,,3052.2635
0,1,01/29/24,10:33,1,recall,9,tear,wing,wing,1687.0077000000001
0,1,01/29/24,10:33,1,recall,10,gulf,lion,lion,2702.7036
0,1,01/29/24,10:33,2,encoding,1,bulb,calm,,NA
0,1,01/29/24,10:33,2,encoding,2,pulp,lion,,NA
0,1,01/29/24,10:33,2,encoding,3,call,coat,,NA
0,1,01/29/24,10:33,2,encoding,4,fire,race,,NA
0,1,01/29/24,10:33,2,encoding,5,hail,game,,NA
0,1,01/29/24,10:33,2,encoding,6,loss,port,,NA
0,1,01/29/24,10:33,2,encoding,7,hawk,bell,,NA
0,1,01/29/24,10:33,2,encoding,8,ping,spec,,NA
0,1,01/29/24,10:33,2,encoding,9,ring,slap,,NA
