subID,session,trial,seedNumber,stimulus,stimulusConflict,responseConflict,repsonse,buttonPosition,correct,rt,dateTime,score,computerName,installerName
9001,Practice,1,8,LLL,0,0,RRR,0,0,2.16300000000001,10/24/2022 10:24:24 AM,-1,PSYC-132589,UTA Session 4
9001,Practice,2,5,LRL,1,0,LLL,0,1,2.92200000000003,10/24/2022 10:24:32 AM,0,PSYC-132589,UTA Session 4
9001,Practice,3,3,RRR,0,1,RLR,0,0,1.98399999999992,10/24/2022 10:24:35 AM,-1,PSYC-132589,UTA Session 4
9001,Practice,4,7,RRR,0,0,RRR,0,1,1.67799999999988,10/24/2022 10:24:41 AM,0,PSYC-132589,UTA Session 4
9001,Practice,5,8,LLL,0,0,LLL,1,1,1.57799999999997,10/24/2022 10:24:42 AM,1,PSYC-132589,UTA Session 4
9001,Practice,6,1,LRL,1,1,LRL,0,0,2.43499999999995,10/24/2022 10:24:45 AM,0,PSYC-132589,UTA Session 4
9001,Practice,7,7,RRR,0,0,RRR,0,1,2.11899999999969,10/24/2022 10:24:50 AM,1,PSYC-132589,UTA Session 4
9001,Practice,8,4,LLL,0,1,RLR,1,1,2.19400000000041,10/24/2022 10:24:53 AM,2,PSYC-132589,UTA Session 4
9001,Practice,9,2,RLR,1,1,LRL,0,1,2.58099999999968,10/24/2022 10:24:56 AM,3,PSYC-132589,UTA Session 4
9001,Practice,10,3,RRR,0,1,LRL,1,1,1.35699999999997,10/24/2022 10:24:57 AM,4,PSYC-132589,UTA Session 4
9001,Practice,11,2,RLR,1,1,LRL,0,1,2.09099999999989,10/24/2022 10:25:00 AM,5,PSYC-132589,UTA Session 4
9001,Practice,12,4,LLL,0,1,RLR,0,1,1.85399999999981,10/24/2022 10:25:02 AM,6,PSYC-132589,UTA Session 4
9001,Practice,13,7,RRR,0,0,RRR,1,1,1.34900000000016,10/24/2022 10:25:03 AM,7,PSYC-132589,UTA Session 4
9001,Review,13,4,LLL,0,1,RLR,0,0,0,10/24/2022 10:25:05 AM,7,PSYC-132589,UTA Session 4
