Subject,RAPM,LetterSets,NumberSeries,OSpan,SymSpan,RotSpan,Antisaccade,FlankerEffect,FlankerBin,StroopEffect,StroopBin,LineThreshold.avg,LineThreshold.avg_last10,LineThreshold.2wrong_first,LineThreshold.2wrong_mean,LineThreshold.last,LineThreshold.last4rev,CircleThreshold.avg,CircleThreshold.avg_last10,CircleThreshold.2wrong_first,CircleThreshold.2wrong_mean,CircleThreshold.last,CircleThreshold.last4rev,LoudThreshold.avg,LoudThreshold.avg_last10,LoudThreshold.2wrong_first,LoudThreshold.2wrong_mean,LoudThreshold.last,LoudThreshold.last4rev,PitchThreshold.avg,PitchThreshold.avg_last10,PitchThreshold.2wrong_first,PitchThreshold.2wrong_mean,PitchThreshold.last,PitchThreshold.last4rev
12022,8,14,9,42,16,31,0.9375,134.36842105263162,6.239583333333333,232.17042330951085,6.2592592592592595,9.189655172413794,12.5,1,6,26,16,2.913793103448276,2.9,1,2.5,3,3,3.586206896551724,2.1,2,1.5,2,2.5,6.5,4.5,3,4.666666666666667,5,4.5
12023,6,25,10,53,31,19,0.8125,51.97737961926089,4.8125,165.46091644204853,7.2407407407407405,14.362068965517242,11,5,5.666666666666667,21,16,2.7413793103448274,2.6,1,1,5,3.5,4.258620689655173,3.8,4,2.3333333333333335,1,6.5,18.93103448275862,21.1,19,18.6,20,22.25
12024,11,21,12,58,37,33,1,81.34121821407456,6.3578947368421055,87.81723779854622,5.2592592592592595,9.10344827586207,4.5,1,3.5,16,9.75,2.2758620689655173,2.2,1,1.5,4,2.5,6.568965517241379,5.5,6,4.8,10,5.75,7.258620689655173,6.9,6,5.5,5,6.75
12025,12,18,11,26,28,25,0.9791666666666666,82.40350877192981,5.479166666666667,152.8599419448476,6.537037037037037,13.189655172413794,9,1,8.5,16,11,2.6724137931034484,2.6,2,1.5,1,3,3.8275862068965516,2.1,6,3.5,2,2.5,9.258620689655173,11.7,5,7.666666666666667,13,11.25
12027,9,12,7,42,15,15,0.8333333333333334,54.362262038073936,5.375,150.60923999294653,5.796296296296297,15.224137931034482,16.5,1,8.5,11,16,2.1206896551724137,2.6,1,1.5,3,3,4.810344827586207,6.5,1,3,5,6.5,19.29310344827586,20.9,15,20,20,21.75
12029,13,18,11,62,30,40,0.6875,,,173.09605399792304,5.277777777777778,11.344827586206897,8.5,1,3.5,21,9.75,2.2758620689655173,2.1,1,1.5,2,2.5,4.017241379310345,4.7,3,3.25,2,4.5,5.724137931034483,5.5,5,4.2,6,6
12030,16,14,11,61,40,34,0.8958333333333334,73.13647342995176,6.421052631578948,96.87450980392157,7.37037037037037,8.189655172413794,8.5,1,1,1,8.5,1.793103448275862,1.6,1,1,1,2.5,6.517241379310345,3.4,7,5,1,4,19.689655172413794,22,14,20.5,24,21.5
12033,10,22,14,82,29,30,1,49.70572082379863,5.572916666666667,61.38031816500188,5.166666666666667,11.172413793103448,9,1,6,1,11,3.5,4.7,1,2.6666666666666665,2,5,4.9655172413793105,3.7,5,2.75,1,3.25,4.982758620689655,3.7,3,3.4,5,3.75
12034,5,8,8,76,6,8,0.5,132.91447368421052,7.442105263157894,277.764105226722,6.962962962962963,12.413793103448276,21.5,1,6,6,23.5,3.1379310344827585,2.2,1,1.5,2,2.5,5.5,5.7,4,3.25,5,5.75,21,19.1,24,20.428571428571427,22,19.25
12038,4,15,7,59,29,20,0.7708333333333334,90.10568917668832,6.021052631578947,215.5168400634809,5.314814814814815,13.327586206896552,16.5,1,8.5,11,17.25,2.4482758620689653,2.6,1,1.5,4,3,5.844827586206897,12.2,1,6,11,12,20.379310344827587,22.3,11,18.666666666666668,21,22.25
12040,3,2,4,16,7,,0.8541666666666666,176.91287878787887,6.966292134831461,300.9814814814815,6.962962962962963,,,,,,,2.706896551724138,3.6,2,2,6,3.75,5.086206896551724,7.9,1,3.8,12,8.5,22.362068965517242,22.8,17,21.4,19,23.5
12041,14,22,12,78,40,21,0.8958333333333334,58.23809523809524,6.821052631578947,-27.032738095238187,5.425925925925926,15.706896551724139,13.5,5,7,16,11,2.3793103448275863,1.9,1,1.5,3,2.5,3.4655172413793105,3,2,2,1,3.5,11.051724137931034,5.7,17,15,1,6.5
12043,11,16,7,70,35,30,0.8541666666666666,145.11224127735068,7.072916666666667,223.6134720507847,6.62962962962963,8.879310344827585,7,1,6,1,8.5,1.8793103448275863,2.4,1,1,2,2.5,3.2586206896551726,2.6,1,2.3333333333333335,5,3.25,10.5,10.5,7,10,9,9.75
12047,9,12,11,48,21,20,0.8958333333333334,49.22553191489362,4.354166666666667,,,10.741379310344827,12.5,1,6,11,13.5,3.396551724137931,2.2,1,2,4,2.5,8.706896551724139,10.7,2,7.375,12,10.75,8.913793103448276,7.7,6,7.25,5,9
12048,3,16,6,45,19,12,0.75,83.44388440860212,5.382978723404255,80.32075471698113,5.425925925925926,8.241379310344827,7.5,1,3.5,1,8.5,3.086206896551724,2.3,1,1.5,1,2.5,7.741379310344827,4.9,7,5.25,9,5,22.189655172413794,23.5,22,21,23,23.5
12049,12,18,12,64,36,39,0.9583333333333334,71.73847517730502,5.229166666666667,161.1006289308176,5.962962962962963,8.327586206896552,19.5,1,1,6,17.25,2.103448275862069,4.1,1,2,1,4.5,5.275862068965517,8.7,1,4,4,10.5,10.913793103448276,8.5,16,9.6,13,8.5
12050,5,11,5,32,7,5,0.4583333333333333,,,177.13560975609767,9.38888888888889,10.137931034482758,10.5,1,6,1,11,2.7413793103448274,4.2,1,2,5,5.5,10.482758620689655,9.1,6,9.571428571428571,10,9.25,21.448275862068964,20.2,15,20,24,21.25
12051,6,9,6,24,15,20,0.875,85.63142730496452,5.333333333333333,159.91111111111104,7.055555555555555,13.068965517241379,9.5,1,6,16,9.75,3.1724137931034484,1.9,1,1,1,2.5,5.810344827586207,4.9,3,3.3333333333333335,5,4.5,22.413793103448278,22.9,19,21.6,24,22.5
12052,13,15,8,42,10,13,0.9583333333333334,75.14342948717956,5.75,263.0003770739065,7.277777777777778,9.189655172413794,7,1,3.5,6,8.5,2.1551724137931036,2.5,1,1.5,2,3,4.637931034482759,1.9,6,3.3333333333333335,4,2.5,23.017241379310345,23.2,23,22.25,24,23.25
12053,7,25,8,60,25,20,0.9375,122.91489361702122,7.191489361702128,92.38475368572449,5.2407407407407405,18.810344827586206,24.5,,11,41,26,2.189655172413793,1.9,1,1,1,3.5,9.293103448275861,9.5,8,8.333333333333334,6,9.75,14.913793103448276,20.5,8,12.8,21,20.5
12057,12,21,9,68,43,28,0.8958333333333334,90.3310190369541,5.59375,35.082900657667096,4.2592592592592595,10.051724137931034,6.5,1,6,6,8.5,1.9827586206896552,2.2,1,1,1,2.5,6.5,6.5,5,4.5,7,6,6.275862068965517,5.9,9,5.25,2,6
12058,15,16,10,22,29,23,0.8541666666666666,14.672222222222217,3.782608695652174,37.61828737300425,4.7407407407407405,8.96551724137931,7,1,3.5,11,8.5,2.5344827586206895,2,1,1,5,3.5,9.206896551724139,10.9,4,8.333333333333334,13,10.5,22.689655172413794,22.1,15,20.833333333333332,24,22.5
12059,10,15,6,41,27,17,0.8125,68.73369565217388,6.104166666666667,158.52265914300824,6.055555555555555,9.310344827586206,12.5,1,6,11,13.5,2.7413793103448274,1.9,2,1.5,1,2.5,3.3448275862068964,3.9,6,3.5,6,5,8.482758620689655,3.6,3,4.5,2,5
12060,12,14,13,27,34,33,1,82.42345050878816,6.25,192.9519230769231,6.555555555555555,13.827586206896552,16.5,10,8.8,31,17.25,3.0689655172413794,2.5,1,2.3333333333333335,6,3.75,4,3,1,2.5,5,4,17.620689655172413,18.5,22,17.833333333333332,19,18
12061,7,11,4,28,22,26,0.6666666666666666,129.3880179171332,6.208333333333333,232.5396575821104,6.777777777777778,13.913793103448276,11,5,4,16,13.5,2.3620689655172415,2.2,1,1,4,2.5,3.586206896551724,3.8,1,3.3333333333333335,8,4.25,16.862068965517242,14.3,22,17,18,15.75
12062,5,,9,72,41,,0.875,102.4541029994341,5.90625,152.37037037037044,5.314814814814815,8.5,7,1,3.5,6,8.5,1.8793103448275863,1.9,1,1,3,2.5,8.155172413793103,6.9,7,6.75,5,6.75,13.120689655172415,11.3,11,12,9,11.5
12063,15,22,13,67,37,40,0.9791666666666666,154.8999542124543,6.78494623655914,185.35988819007696,6.62962962962963,8.241379310344827,5.5,1,1,16,8.5,2.1551724137931036,2.2,2,1.5,1,2.5,5.362068965517241,5.3,1,4.166666666666667,9,6.5,16.43103448275862,6.5,17,18.333333333333332,1,20.5
12064,14,21,14,69,48,47,0.9791666666666666,38.14549731182797,4.802083333333333,4.133076923076942,5.092592592592593,7.086206896551724,7.5,5,4,16,11,1.6896551724137931,1.6,1,1,4,2.5,2.9482758620689653,3.1,1,2,4,3.5,3.189655172413793,1.6,3,2,4,2.5
12065,7,21,6,44,13,16,0.7708333333333334,90.85542582417577,7.010416666666667,123.83211041229913,5.7592592592592595,8.53448275862069,15,1,1,16,14.75,2.413793103448276,2,1,1,3,2.5,3.086206896551724,2.7,2,1.5,4,3.5,17.137931034482758,11.3,15,19,9,13.5
12068,5,15,8,72,21,36,0.9583333333333334,128.39516843971637,5.91578947368421,144.16666666666674,5.925925925925926,8.53448275862069,7,1,3.5,16,8.5,2,2.3,1,1,4,3,4.155172413793103,1.9,4,3.6666666666666665,4,3.25,9.39655172413793,17.7,1,7.8,17,17.25
12069,12,,13,38,10,,1,53.191720629047154,5.021052631578947,42.44115610938047,4.537037037037037,8.844827586206897,13.5,1,8.5,26,14.75,2.3620689655172415,2.6,1,1.5,3,3,2.4827586206896552,2.5,1,2,5,2.75,20.379310344827587,15.7,15,20.75,15,16
12070,3,8,6,27,,15,0.6875,99.39278533412175,6.852631578947369,16.54380721090979,4.462962962962963,19.155172413793103,36.1,1,16,10,28.25,3.6551724137931036,2.2,,2.3333333333333335,1,2.5,7.810344827586207,9.7,2,7.75,8,9.25,20.43103448275862,22.6,15,19.333333333333332,21,21.5
12071,11,20,13,57,34,25,0.7916666666666666,52.98057354301574,5.447916666666667,154.461215932914,5.574074074074074,9.275862068965518,13.5,1,6,21,18.5,3.5172413793103448,3.2,2,2,2,3.5,4.482758620689655,2.2,4,2.6666666666666665,6,3,6.5,3.3,6,5.5,1,3.5
12072,11,16,8,25,18,16,0.9583333333333334,61.02197802197804,4.362637362637362,99.36501498853818,5.37037037037037,12.206896551724139,13,1,7.666666666666667,1,17.25,2.2241379310344827,2,1,1.5,1,3,5.655172413793103,9.9,2,3.25,9,10.5,14.982758620689655,20.5,12,14.75,16,18
12076,17,24,11,72,31,32,0.9375,66.02236842105265,5.572916666666667,111.53598881900768,5.574074074074074,7.982758620689655,12.5,1,1,11,13.5,2.5517241379310347,1.6,1,2,4,3,1.896551724137931,1.6,1,1,1,2.5,5.241379310344827,3.9,5,2.75,2,4
12078,10,19,7,53,33,41,0.75,69.11367127496163,6.473118279569892,,5.787234042553192,7.120689655172414,3,1,1,11,8.5,2.6206896551724137,2.9,1,1,3,2.5,,,,,,,10.568965517241379,6.1,13,10.5,5,6
12080,17,22,14,79,41,36,0.9791666666666666,75.25694444444446,6.231578947368421,150.6885910774114,5.833333333333333,10.39655172413793,8.5,1,6,11,8.5,2.4310344827586206,1.9,3,2,3,2.5,,,,,,,6.586206896551724,5.7,1,4.75,3,6
12081,12,20,11,30,40,31,0.9791666666666666,81.77489035087717,5.708333333333333,94.86111111111109,5.148148148148148,11.03448275862069,8.5,1,3.5,11,8.5,2.1551724137931036,1.6,1,1,1,2.5,3.706896551724138,3.3,1,2.5,5,3.5,10.862068965517242,2.6,10,6,5,3.25
12083,9,18,8,65,28,26,0.8333333333333334,124.71872778962336,7.1866666666666665,,,10.827586206896552,5.5,6,3.5,16,8.5,4.327586206896552,4.1,1,3,1,5,11.879310344827585,11.6,10,11.5,11,11.25,21.67241379310345,22.3,18,21.333333333333332,24,23
12084,10,21,14,80,26,29,0.8333333333333334,42.154090354090386,4.531914893617022,160.27282913165266,6.907407407407407,8.586206896551724,20.5,1,1,1,23.5,3.1551724137931036,2.6,1,2.3333333333333335,6,3.25,5.017241379310345,9.7,5,3.5,10,9.75,3.793103448275862,5.3,1,3.3333333333333335,7,6
12087,14,20,13,80,19,24,0.875,92.54080362195816,5.652631578947369,2.4079501740245632,4.203703703703703,6.431034482758621,5.5,1,1,11,8.5,2.5344827586206895,3.5,1,2,4,3.5,2.2758620689655173,3,1,1,5,3.25,16.448275862068964,22.6,8,17.285714285714285,24,23.25
12089,13,17,12,62,18,29,0.9375,59.47138278388286,5.489583333333333,-49.69115384615384,4.113207547169812,11.862068965517242,15.5,1,6,16,16,2.8448275862068964,1.6,1,2,1,2.5,5.689655172413793,9.5,2,3.2,6,8.5,11.60344827586207,6.1,13,11.25,1,11.25
12092,14,19,12,55,21,22,1,31.429385964912285,4.03125,390.7252112966398,5.615384615384615,14.724137931034482,8,5,5.666666666666667,6,8.5,3.2413793103448274,2.9,1,2.3333333333333335,3,2.5,4.879310344827586,5.1,2,3,4,5.25,18.155172413793103,18.7,15,16.2,20,18.5
12094,7,16,12,45,35,35,0.8333333333333334,52.62945128779393,5.042105263157895,242.00073991860893,7.833333333333333,8.931034482758621,7,1,6,1,8.5,2.5517241379310347,3.9,1,1,2,3.25,3.1724137931034484,1.8,3,2,2,3,13.5,15.1,15,11,10,11.5
12095,14,24,13,75,35,40,0.8958333333333334,123.49954710144931,6.810526315789474,-2.302930402930315,4.444444444444445,10.655172413793103,9,1,6,16,11,2.2241379310344827,3,1,1,3,3.5,2.9827586206896552,2.9,1,1.5,1,3,16.155172413793103,13.5,11,13.8,12,15.25
12096,4,12,4,50,19,17,0.4583333333333333,78.46259798432254,5.052631578947368,156.17316169987657,6.166666666666667,11.948275862068966,12.5,1,9.333333333333334,31,17.25,2.086206896551724,2.1,1,1,6,3,3.2241379310344827,2.7,1,2,8,2.75,21.137931034482758,19.7,19,20.25,19,18.5
12097,16,18,13,54,14,28,0.9166666666666666,42.73278425989474,4.645833333333333,172.77647058823527,6.703703703703703,7.724137931034483,4.5,1,3.5,1,8.5,1.9310344827586208,2.2,1,1,1,2.5,3.0172413793103448,1.9,1,2,1,2.5,9.189655172413794,14.5,2,6.5,9,11.75
12098,11,23,14,71,29,36,0.9375,170.11247139588102,7.172043010752688,212.79419986023754,6.703703703703703,10.482758620689655,14.5,1,3.5,21,16,3.4482758620689653,4.3,2,2.3333333333333335,2,4.5,5.137931034482759,3.6,3,3.8,6,4,7.396551724137931,6.5,4,7.25,9,5.5
12101,9,14,10,45,27,13,0.9583333333333334,83.1734082397004,5.76595744680851,,8.08,15.655172413793103,13.5,1,14.75,16,14.75,3.413793103448276,2.7,1,1,8,2.75,9.689655172413794,10.6,6,9.4,12,11,22.5,23,24,22,23,23
12102,10,18,8,30,16,27,0.9375,36.808510638297776,4.8125,150.714074074074,6.407407407407407,9.448275862068966,7,1,3.5,16,8.5,2.189655172413793,1.9,2,1.5,3,2.5,5.706896551724138,5.1,5,4.333333333333333,4,5.75,16.75862068965517,7.7,17,18.666666666666668,9,13.5
12103,8,9,6,4,12,6,0.5416666666666666,,,-23.85190325138774,3.537037037037037,15.568965517241379,13.5,1,8.5,26,14.75,4.741379310344827,5.9,1,3,8,7,8.741379310344827,8.3,10,9.2,12,10.25,21.103448275862068,21.4,24,21,24,23
12104,13,12,9,31,28,27,0.4791666666666667,127.57698412698414,7.101123595505618,152.4771428571429,6.685185185185185,9.53448275862069,8.5,1,6,11,8.5,2.1724137931034484,1.6,1,1.5,1,2.5,,,,,,,13.741379310344827,17.3,6,11.75,13,16.75
12105,10,13,4,22,24,18,0.6875,44.19631410256409,4.957894736842105,169.81315633049337,7.611111111111111,9.362068965517242,15.5,1,3.5,6,16,3.603448275862069,3.9,1,2,4,4,8.586206896551724,5.7,4,8,7,6.5,21.275862068965516,18.7,19,21.8,20,19.25
12107,9,9,5,44,,26,0.9583333333333334,32.52083333333337,4.354166666666667,152.92703703703705,6.907407407407407,6.206896551724138,2.5,1,1,11,11,2.4310344827586206,2.6,1,1.5,4,3,4.344827586206897,6.3,5,3.3333333333333335,6,5.75,,,,,,
12109,6,7,10,55,17,9,0.9791666666666666,94.24335106382978,6.104166666666667,262.9414744933613,7.185185185185185,13.068965517241379,16.5,1,8.5,21,17.25,2.5689655172413794,3.9,1,2,6,3.75,,,,,,,11.620689655172415,12.9,11,10.666666666666666,15,16.25
12110,5,19,9,57,27,,0.6041666666666666,93.36148049645385,6.291666666666667,117.26075471698118,6.648148148148148,13.068965517241379,18.5,1,8.5,1,21,2.810344827586207,3.3,1,1.5,5,3.5,4.637931034482759,4,6,4,6,4.75,19.75862068965517,12.9,15,18.5,15,19.75
12112,13,13,10,60,32,23,0.8125,47.82959326788216,4.829787234042553,182.34800838574438,5.185185185185185,12.120689655172415,18.5,1,7.666666666666667,11,21,1.896551724137931,2.6,1,1,1,3,6.155172413793103,4.1,5,3.25,5,4.25,14.724137931034482,13.1,6,15,22,17.75
12113,9,13,14,1,0,0,0.6458333333333334,125.16897220426631,6.483516483516484,193.26011904761913,6.925925925925926,9.620689655172415,17.5,1,6,16,16,2,2.7,1,1,1,3,3.7586206896551726,2.6,1,2.3333333333333335,7,3.75,18.5,11.7,15,20.2,9,12
12115,6,10,4,20,11,15,0.6875,137.8088548318434,7.450549450549451,,,12.241379310344827,2.5,1,6,11,13.5,2.6724137931034484,1.5,1,2.5,2,2.5,6.586206896551724,4.5,8,6.4,1,7.25,21.637931034482758,23.4,17,21,24,23.5
12116,12,18,14,77,17,15,0.8958333333333334,49.2386350491613,5.442105263157894,268.79126213592235,7.092592592592593,8.931034482758621,5.5,1,3.5,1,11,1.8103448275862069,2.2,1,1,2,2.5,6.655172413793103,4.2,4,4.5,4,4.75,10.637931034482758,9.7,9,9.75,5,12.25
12117,9,21,8,44,15,17,0.75,86.78070175438592,6.631578947368421,119.65099715099711,5.925925925925926,7.206896551724138,8.5,1,1,16,13.5,1.6206896551724137,2.2,1,1,1,2.5,4.948275862068965,2.7,5,2.75,5,3.25,9.293103448275861,4.7,7,5.5,4,4.5
12118,14,20,14,70,44,32,0.9791666666666666,106.31580284552848,8.5,129.64364079642428,7.7592592592592595,10.431034482758621,12.5,1,3.5,1,13.5,1.896551724137931,1.6,1,1,4,2.5,3.396551724137931,4.1,1,2.5,5,4,7.396551724137931,9.3,8,5.5,9,9.75
12121,4,8,6,28,10,7,0.4375,134.73381377259216,6.572916666666667,112.45704341454473,5.574074074074074,15.948275862068966,23.5,1,9.333333333333334,16,23.5,2.5,2.5,1,1.5,7,2.5,5.741379310344827,9.3,1,3.5,13,9.25,22.5,23.4,13,20.333333333333332,23,23.5
12122,1,8,4,50,16,1,0.7708333333333334,,,152.31481481481478,5.87037037037037,11.224137931034482,5.5,6,7.666666666666667,1,13.5,2.6379310344827585,3,2,1.5,4,3.5,3.586206896551724,4.3,1,2.5,6,4.75,22.29310344827586,23.2,24,22,24,23
12123,10,17,10,50,34,26,1,59.79592529711374,5.583333333333333,88.19159544159538,5.351851851851852,6.517241379310345,4,1,1,16,8.5,1.5517241379310345,3,1,1,1,3.5,2.793103448275862,2.5,1,2,2,3,7.879310344827586,2.9,7,8,1,3
12124,8,17,7,62,32,36,1,38.75,4.489583333333333,42.71296296296293,4.648148148148148,9.362068965517242,8,1,3.5,6,8.5,1.5172413793103448,1.6,1,1,1,2.5,4.413793103448276,3.9,1,3.2,2,4,6.086206896551724,4.1,2,4.333333333333333,5,5.25
12125,9,20,14,69,41,37,0.9583333333333334,79.32004830917867,6.273684210526316,81.93382207251841,5.981481481481482,10.775862068965518,11,1,8.5,1,14.75,2.7586206896551726,3.1,1,1,3,3.25,,,,,,,15.931034482758621,13.5,13,17.25,14,13.25
12126,10,23,15,56,39,23,1,59.2943262411348,5.645833333333333,-10.263041065482867,4.777777777777778,13.155172413793103,14.5,1,7.666666666666667,11,16,2.086206896551724,2.2,1,1,1,2.5,3.3620689655172415,1.7,2,2.5,1,2.5,8.706896551724139,14.1,5,7.25,13,14
12127,8,13,10,43,20,22,0.9166666666666666,84.40564516129041,6.78021978021978,36.57098039215691,4.944444444444445,15.379310344827585,17.5,10,8.166666666666666,26,21,4.482758620689655,,2,2.75,8,,4.637931034482759,4.5,3,2.5,5,4.5,5.775862068965517,5.9,3,5,4,6
12129,5,,5,25,11,11,0.5416666666666666,162.70649188514358,6.655555555555556,291.8114970904603,6.12962962962963,9.568965517241379,6.5,1,6,16,11,2.9655172413793105,3.5,1,2,2,3.5,10.706896551724139,8.9,11,10.6,13,10.25,22.93103448275862,23.4,24,22,22,23.5
12133,15,14,13,70,26,27,0.6041666666666666,56.40860215053772,5.552083333333333,171.82185771504862,7.018518518518518,16.120689655172413,15.5,1,8.5,16,16,3.6551724137931036,3.5,1,2.5,4,4,3.586206896551724,6.1,1,2.6666666666666665,7,6.5,7.396551724137931,4.1,9,6,9,4.25
12134,10,15,9,37,17,15,0.5833333333333334,70.56842105263155,5.5625,,,13.620689655172415,22.5,1,9.75,11,19.75,1.7241379310344827,1.6,1,1,1,2.5,3.5172413793103448,2.9,2,1.5,3,3,12.5,16.1,5,11.4,13,16.5
12135,13,20,8,77,40,39,0.9791666666666666,,,120.87342767295604,7.055555555555555,6.862068965517241,9.5,1,3.5,1,11,3.0172413793103448,3.3,1,2,3,3.5,4.603448275862069,9.1,1,3.6,10,8.5,10.431034482758621,13.7,10,11,13,13.5
12136,9,13,6,65,29,21,0.9375,60.88844525105867,6.197916666666667,90.8899371069183,5.888888888888889,14.879310344827585,20.5,1,11,31,19.75,4.068965517241379,3.6,2,2.3333333333333335,2,4,3.310344827586207,3.5,1,2.5,1,4,17.70689655172414,18.3,13,16.4,18,18.75
12137,10,12,5,48,26,24,0.8333333333333334,72.03826754385966,5.0625,64.74272615059078,5.2407407407407405,9.10344827586207,9.5,1,3.5,21,13.5,2.293103448275862,3.9,1,1.5,2,4,2.7586206896551726,2.4,1,1.5,2,2.5,7.224137931034483,7.1,1,4.5,8,8.5
12138,9,9,8,45,14,30,0.6458333333333334,115.43111559139788,6.46875,182.53046036690887,5.777777777777778,11.431034482758621,14.5,1,3.5,11,13.5,3.206896551724138,3.9,1,2.6666666666666665,4,3.5,6.603448275862069,9.7,3,5,9,9.5,17.913793103448278,15.1,15,16.75,18,16
12139,9,12,6,7,5,17,0.9166666666666666,35.93684210526317,4.021052631578947,132.18409586056646,6.462962962962963,13.586206896551724,19.5,1,9.333333333333334,16,18.5,2.603448275862069,2.2,1,1,4,2.5,5.568965517241379,7.3,1,4.6,7,7,16.637931034482758,16.5,11,14.75,17,15.75
12140,9,14,6,50,40,32,0.9583333333333334,47.54934210526318,4.4375,66.03547423450334,5.166666666666667,11.172413793103448,4.5,1,6,1,8.5,2.1379310344827585,2.2,1,1,1,2.5,5.051724137931035,3.7,1,2.5,1,4,11.258620689655173,16.1,9,10,17,15.5
12141,6,4,3,24,7,12,0.5,112.83210784313724,7.770833333333333,364.1732418524873,8.833333333333334,17,12.5,5,8.8,,12.25,5.517241379310345,,1,3.8,9,,10.724137931034482,10.6,8,10.2,12,10.25,23.29310344827586,23.3,24,22.5,24,23.25
12142,6,17,7,27,11,1,0.4166666666666667,176.48226950354615,8.578947368421053,244.07340525328334,9.851851851851851,20.75862068965517,21.5,15,11.166666666666666,26,21,2.7413793103448274,2.6,1,1,2,3,7.724137931034483,10.8,1,6.333333333333333,12,12.25,18.67241379310345,22.4,15,19.666666666666668,23,23
12143,3,23,9,76,32,18,0.8125,,,180.05547169811325,7.203703703703703,11.517241379310345,5.5,1,3.5,1,14.75,2.9482758620689653,3.4,1,2.3333333333333335,4,3.5,,,,,,,18.810344827586206,14.9,18,17.4,19,16.25
12144,10,5,8,56,25,13,0.9583333333333334,31.65912653975363,4.1157894736842104,130.60621942697412,6,12.120689655172415,17.5,1,6,26,17.25,1.8275862068965518,1,1,1,4,2.5,6.948275862068965,3.3,9,5,7,3.75,14.568965517241379,13.5,9,12.5,22,12.5
